Species,Test AUC,wc2.1_30s_bio_1_fc,wc2.1_30s_bio_2_fc,wc2.1_30s_bio_3_fc,wc2.1_30s_bio_4_fc,wc2.1_30s_bio_5_fc,wc2.1_30s_bio_6_fc,wc2.1_30s_bio_7_fc,wc2.1_30s_bio_8_fc,wc2.1_30s_bio_9_fc,wc2.1_30s_bio_10_fc,wc2.1_30s_bio_11_fc,wc2.1_30s_bio_12_fc,wc2.1_30s_bio_13_fc,wc2.1_30s_bio_14_fc,wc2.1_30s_bio_15_fc,wc2.1_30s_bio_16_fc,wc2.1_30s_bio_17_fc,wc2.1_30s_bio_18_fc,wc2.1_30s_bio_19_fc,wc2.1_30s_bio_20_fc
Acronychia_pedunculata,0.879,0.0,0.2,15.8,0.0,0.0,2.3,0.1,0.0,0.0,0.0,0.0,8.2,0.0,67.2,2.5,0.0,0.1,0.0,1.3,2.3
Diospyros_ebenum,0.935,0.0,7.3,1.7,0.0,0.0,3.2,0.0,0.0,0.9,0.0,0.0,0.0,0.0,1.4,3.1,4.5,0.0,0.1,32.9,44.8
Vepris_bilocularis,0.911,0.0,1.2,10.7,19.2,7.7,3.0,5.0,0.3,0.0,2.7,0.1,9.9,5.7,4.4,0.0,11.5,5.5,0.5,0.6,12.0
Dimorphocalyx_glabellus,0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.3,0.0,11.1,0.3,2.1,11.7,0.0,16.6
Drypetes_oblongifolia,0.957,0.0,1.9,8.1,0.0,0.2,0.0,0.0,3.5,0.0,3.2,3.0,7.8,1.9,7.2,0.0,0.1,9.4,0.6,44.6,8.4
Meiogyne_pannosa,0.972,0.0,4.3,2.1,2.0,0.0,0.5,4.2,1.4,0.2,22.8,1.7,24.5,1.7,1.2,0.7,2.3,1.6,0.0,24.8,3.9
Vateria_indica,0.825,2.0,9.2,2.4,0.4,0.0,0.3,30.6,0.0,0.4,0.0,0.1,3.5,0.0,0.9,0.1,0.0,0.5,1.2,10.7,37.8
Discospermum_sphaerocarpum,0.965,0.3,6.4,0.6,0.0,21.1,0.3,41.5,5.7,2.0,0.0,3.0,0.0,0.0,9.4,0.0,0.0,0.3,7.1,0.5,1.9
Mimusops_elengi,0.899,0.0,8.1,1.8,0.2,11.6,0.0,0.3,2.9,4.0,0.5,0.3,12.4,21.8,7.1,2.8,0.0,0.2,14.7,8.4,2.8
Litsea_ghatica,0.91,0.0,6.2,0.0,0.0,0.6,0.0,0.0,50.9,0.0,0.0,0.0,1.5,25.0,0.0,14.2,0.0,0.0,1.5,0.0,0.0
